Messzeitpunkt;Temperatur 1;Temperatur 2;Feuchte;Max Temp 1 Alarm Einstellung;Max Temp 1 Alarm Aktiv;Max Temp 1 Alarm Begin Event;Max Temp 1 Alarm Ende Event;Min Temp 1 Alarm Einstellung;Min Temp 1 Alarm Aktiv;Min Temp 1 Alarm Begin Event;Min Temp 1 Alarm Ende Event;Max Temp 2 Alarm Einstellung;Max Temp 2 Alarm Aktiv;Max Temp 2 Alarm Begin Event;Max Temp 2 Alarm Ende Event;Min Temp 2 Alarm Einstellung;Min Temp 2 Alarm Aktiv;Min Temp 2 Alarm Begin Event;Min Temp 2 Alarm Ende Event;Max Feuchte Alarm Einstellung;Max Feuchte Alarm Aktiv;Max Feuchte Alarm Begin Event;Max Humidity Alarm Ende Event;Min Feuchte Alarm Einstellung;Min Feuchte Alarm Aktiv;Min Feuchte Alarm Begin Event;Min Humidity Alarm Ende Event
04.07.2022 02:02:59;14,2;15,0;68;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:06:30;14,1;14,9;68;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:10:03;14,1;14,9;68;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:13:36;14,0;14,9;68;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:17:08;13,9;14,9;68;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:20:39;13,9;14,8;68;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:24:12;13,8;14,6;68;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:27:44;13,7;15,0;68;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:31:15;13,7;15,0;69;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:34:46;13,7;14,5;69;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:38:18;13,7;14,4;69;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:41:50;13,7;14,5;69;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:45:22;13,7;14,3;69;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:48:54;13,7;14,2;69;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:52:25;13,5;14,1;69;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:55:57;13,5;14,1;70;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 02:59:29;13,4;14,1;70;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:03:01;13,3;14,4;70;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:06:34;13,3;13,8;70;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:10:05;13,2;14,0;70;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:13:36;13,1;14,2;70;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:17:08;13,1;14,1;70;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:20:40;13,1;14,0;70;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:24:12;13,1;14,0;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:27:44;13,1;14,1;70;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:31:18;13,0;13,9;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:34:49;13,0;14,1;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:38:21;12,9;13,9;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:41:53;12,9;14,2;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:45:26;12,9;14,0;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:48:58;12,9;13,8;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:52:30;12,8;13,7;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:56:01;12,8;13,8;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 03:59:33;12,7;13,4;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 04:03:05;12,7;13,7;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 04:06:37;12,6;13,5;71;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 04:10:10;12,6;13,3;72;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 04:13:41;12,6;13,4;72;;;;;;;;;;;;;;;;;;;;;;;;
04.07.2022 04:17:13;12,6;13,1;72;;;;;;;;;;;;;;;;;;;;;;;;
