Messzeitpunkt;Temperatur 1;Temperatur 2;Feuchte;Max Temp 1 Alarm Einstellung;Max Temp 1 Alarm Aktiv;Max Temp 1 Alarm Begin Event;Max Temp 1 Alarm Ende Event;Min Temp 1 Alarm Einstellung;Min Temp 1 Alarm Aktiv;Min Temp 1 Alarm Begin Event;Min Temp 1 Alarm Ende Event;Max Temp 2 Alarm Einstellung;Max Temp 2 Alarm Aktiv;Max Temp 2 Alarm Begin Event;Max Temp 2 Alarm Ende Event;Min Temp 2 Alarm Einstellung;Min Temp 2 Alarm Aktiv;Min Temp 2 Alarm Begin Event;Min Temp 2 Alarm Ende Event;Max Feuchte Alarm Einstellung;Max Feuchte Alarm Aktiv;Max Feuchte Alarm Begin Event;Max Humidity Alarm Ende Event;Min Feuchte Alarm Einstellung;Min Feuchte Alarm Aktiv;Min Feuchte Alarm Begin Event;Min Humidity Alarm Ende Event
10.10.2022 02:00:06;8,1;8,4;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:03:39;8,0;8,4;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:07:11;8,1;8,6;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:10:41;8,1;8,5;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:14:14;8,1;8,4;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:17:46;8,1;8,9;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:21:18;8,2;8,6;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:24:50;8,2;8,4;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:28:22;8,2;8,3;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:31:55;8,1;8,5;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:35:27;7,9;8,7;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:38:58;7,9;8,3;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:42:30;7,8;8,0;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:46:02;7,6;8,0;75;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:49:34;7,6;8,1;76;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:53:07;7,5;8,0;76;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:56:38;7,4;7,8;76;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:00:10;7,3;8,1;76;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:03:42;7,3;8,1;76;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:07:13;7,2;8,0;76;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:10:45;7,1;8,1;76;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:14:18;7,1;8,0;76;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:17:49;7,0;8,0;76;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:21:22;7,0;8,1;76;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:24:55;7,0;7,9;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:28:27;6,9;8,1;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:32:00;6,9;7,9;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:35:31;6,8;7,9;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:39:04;6,8;8,0;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:42:36;6,9;7,9;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:46:07;6,9;7,9;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:49:39;6,9;8,2;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:53:11;6,9;7,8;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:56:44;6,9;8,0;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:00:16;6,9;7,8;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:03:47;6,8;7,7;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:07:19;6,8;8,1;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:10:50;6,8;8,2;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:14:22;6,9;8,2;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:17:54;7,0;8,1;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:21:25;7,1;8,2;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:24:57;7,2;8,1;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:28:30;7,3;8,3;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:32:02;7,3;8,0;77;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:35:34;7,2;7,9;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:39:05;7,2;8,2;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:42:37;7,4;8,5;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:46:09;7,6;8,7;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:49:41;7,8;8,8;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:53:13;7,9;8,8;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 04:56:46;7,9;8,6;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:00:18;8,0;8,6;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:03:50;8,0;8,6;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:07:22;7,9;8,8;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:10:53;8,0;8,8;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:14:25;8,1;8,9;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:17:58;8,2;8,7;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:21:29;8,3;9,0;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:25:01;8,4;9,0;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:28:34;8,4;8,7;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:32:04;8,4;8,8;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:35:36;8,5;9,2;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:39:08;8,6;9,1;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:42:40;8,7;9,0;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:46:13;8,7;9,1;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:49:44;8,7;9,0;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:53:16;8,7;9,1;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 05:56:48;8,8;9,0;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:00:21;8,8;9,0;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:03:53;8,8;9,0;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:07:25;8,8;8,9;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:10:57;8,7;8,9;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:14:29;8,7;8,7;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:18:01;8,7;8,9;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:21:33;8,7;8,9;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:25:04;8,7;8,8;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:28:36;8,7;8,5;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:32:08;8,7;8,7;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:35:39;8,7;9,0;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:39:12;8,6;8,7;78;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:42:44;8,7;8,8;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:46:16;8,7;8,7;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:49:48;8,7;9,0;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:53:19;8,7;8,9;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 06:56:52;8,6;8,6;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:00:24;8,6;8,6;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:03:55;8,5;8,6;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:07:28;8,5;8,8;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:10:59;8,5;8,7;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:14:31;8,5;8,7;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:18:04;8,5;8,6;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:21:36;8,5;8,7;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:25:08;8,5;8,8;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:28:40;8,6;8,8;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:32:11;8,6;8,8;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:35:44;8,6;8,9;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:39:16;8,6;8,8;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:42:49;8,7;8,9;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:46:21;8,7;8,8;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:49:53;8,7;8,8;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:53:25;8,7;8,8;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 07:56:57;8,7;8,8;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 08:00:28;8,7;8,8;79;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 08:04:01;8,7;8,7;79;;;;;;;;;;;;;;;;;;;;;;;;
