Messzeitpunkt;Temperatur 1;Temperatur 2;Feuchte;Max Temp 1 Alarm Einstellung;Max Temp 1 Alarm Aktiv;Max Temp 1 Alarm Begin Event;Max Temp 1 Alarm Ende Event;Min Temp 1 Alarm Einstellung;Min Temp 1 Alarm Aktiv;Min Temp 1 Alarm Begin Event;Min Temp 1 Alarm Ende Event;Max Temp 2 Alarm Einstellung;Max Temp 2 Alarm Aktiv;Max Temp 2 Alarm Begin Event;Max Temp 2 Alarm Ende Event;Min Temp 2 Alarm Einstellung;Min Temp 2 Alarm Aktiv;Min Temp 2 Alarm Begin Event;Min Temp 2 Alarm Ende Event;Max Feuchte Alarm Einstellung;Max Feuchte Alarm Aktiv;Max Feuchte Alarm Begin Event;Max Humidity Alarm Ende Event;Min Feuchte Alarm Einstellung;Min Feuchte Alarm Aktiv;Min Feuchte Alarm Begin Event;Min Humidity Alarm Ende Event
03.10.2022 02:00:45;5,4;5,8;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:04:21;5,3;5,7;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:07:49;5,2;5,6;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:11:20;5,0;5,4;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:14:52;4,9;5,2;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:18:24;4,8;5,2;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:21:55;4,7;5,0;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:25:27;4,6;5,0;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:29:00;4,5;4,8;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:32:31;4,4;4,9;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:36:04;4,3;4,8;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:39:35;4,2;4,7;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:43:08;4,2;4,8;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:46:44;4,1;4,6;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:50:12;4,0;4,3;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:53:45;3,9;4,3;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 02:57:17;3,8;4,2;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:00:49;3,7;4,3;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:04:22;3,6;4,0;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:07:54;3,6;3,9;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:11:25;3,5;3,9;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:14:57;3,4;3,9;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:18:29;3,3;3,8;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:22:02;3,2;3,7;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:25:33;3,1;3,7;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:29:05;3,0;3,8;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:32:37;2,9;3,9;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:36:10;3,0;3,7;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:39:41;3,0;3,5;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:43:14;2,9;3,3;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:46:45;2,9;3,2;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:50:18;2,8;3,7;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:53:50;2,8;3,1;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 03:57:21;2,8;3,1;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 04:00:53;2,7;3,2;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 04:04:26;2,7;3,2;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 04:07:58;2,7;3,0;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 04:11:30;2,7;3,0;99;;;;;;;;;;;;;;;;;;;;;;;;
03.10.2022 04:15:01;2,6;3,2;99;;;;;;;;;;;;;;;;;;;;;;;;
