Messzeitpunkt;Temperatur 1;Temperatur 2;Feuchte;Max Temp 1 Alarm Einstellung;Max Temp 1 Alarm Aktiv;Max Temp 1 Alarm Begin Event;Max Temp 1 Alarm Ende Event;Min Temp 1 Alarm Einstellung;Min Temp 1 Alarm Aktiv;Min Temp 1 Alarm Begin Event;Min Temp 1 Alarm Ende Event;Max Temp 2 Alarm Einstellung;Max Temp 2 Alarm Aktiv;Max Temp 2 Alarm Begin Event;Max Temp 2 Alarm Ende Event;Min Temp 2 Alarm Einstellung;Min Temp 2 Alarm Aktiv;Min Temp 2 Alarm Begin Event;Min Temp 2 Alarm Ende Event;Max Feuchte Alarm Einstellung;Max Feuchte Alarm Aktiv;Max Feuchte Alarm Begin Event;Max Humidity Alarm Ende Event;Min Feuchte Alarm Einstellung;Min Feuchte Alarm Aktiv;Min Feuchte Alarm Begin Event;Min Humidity Alarm Ende Event
10.10.2022 02:02:16;1,4;2,5;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:05:47;1,4;2,4;91;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:09:19;1,4;2,5;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:12:51;1,4;2,4;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:16:24;1,3;2,5;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:19:56;1,3;2,5;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:23:28;1,3;2,5;92;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:26:59;1,4;2,5;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:30:31;1,4;2,5;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:34:03;1,3;2,4;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:37:35;1,3;2,4;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:41:06;1,2;2,4;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:44:38;1,2;2,4;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:48:11;1,2;2,3;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:51:43;1,2;2,4;94;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:55:15;1,2;2,4;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 02:58:46;1,1;2,1;92;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:02:19;1,1;2,2;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:05:50;1,1;2,3;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:09:22;1,1;2,4;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:12:54;1,1;2,3;93;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2022 03:16:27;1,1;2,4;93;;;;;;;;;;;;;;;;;;;;;;;;
