Messzeitpunkt;Temperatur 1;Temperatur 2;Feuchte;Max Temp 1 Alarm Einstellung;Max Temp 1 Alarm Aktiv;Max Temp 1 Alarm Begin Event;Max Temp 1 Alarm Ende Event;Min Temp 1 Alarm Einstellung;Min Temp 1 Alarm Aktiv;Min Temp 1 Alarm Begin Event;Min Temp 1 Alarm Ende Event;Max Temp 2 Alarm Einstellung;Max Temp 2 Alarm Aktiv;Max Temp 2 Alarm Begin Event;Max Temp 2 Alarm Ende Event;Min Temp 2 Alarm Einstellung;Min Temp 2 Alarm Aktiv;Min Temp 2 Alarm Begin Event;Min Temp 2 Alarm Ende Event;Max Feuchte Alarm Einstellung;Max Feuchte Alarm Aktiv;Max Feuchte Alarm Begin Event;Max Humidity Alarm Ende Event;Min Feuchte Alarm Einstellung;Min Feuchte Alarm Aktiv;Min Feuchte Alarm Begin Event;Min Humidity Alarm Ende Event
31.10.2022 01:00:42;7,3;8,3;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:04:14;7,4;8,3;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:07:47;7,4;8,2;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:11:18;7,5;8,1;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:14:50;7,4;8,2;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:18:23;7,4;8,1;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:21:56;7,4;8,2;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:25:27;7,4;8,3;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:28:59;7,5;8,4;99;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:32:32;7,6;8,3;99;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:36:04;7,6;8,3;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:39:35;7,6;8,3;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:43:06;7,6;8,4;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:46:38;7,6;8,3;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:50:11;7,6;8,5;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:53:42;7,7;8,6;99;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 01:57:14;7,8;8,7;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 02:00:46;7,9;8,8;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 02:04:18;8,0;8,6;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 02:07:50;8,1;8,7;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 02:11:22;8,0;8,6;98;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2022 02:14:54;8,1;8,5;98;;;;;;;;;;;;;;;;;;;;;;;;
